feature,coefficient,abs_coefficient
share_of_total,5.634082872502933,5.634082872502933
diff_from_avg,4.42808383817779,4.42808383817779
amount_ratio_avg,4.0241699895413605,4.0241699895413605
amount,2.8094643356533755,2.8094643356533755
diff_from_previous,2.3065599883227406,2.3065599883227406
avg_amount_before,-2.1194978936103954,2.1194978936103954
transactions_last_24_h,1.2354890183565972,1.2354890183565972
previous_amount,0.8416623926696504,0.8416623926696504
running_total,-0.7406661275352011,0.7406661275352011
amount_ratio_prev,0.6963201476164541,0.6963201476164541
behavioral_risk_score,-0.3915867466419568,0.3915867466419568
is_increasing_3,0.22457635078666022,0.22457635078666022
