transaction_id,user_id,transaction_time,amount,rule_score,behavioral_risk_score,model_score,final_score,risk_class,triggered_rules,is_anomaly
txn_000259,user_0000,2024-01-04 11:26:28.666085665,54.25,0.0,0.0,0.0077444297886172,0.0030977719154469,low_risk,[],0
txn_000650,user_0000,2024-01-09 09:40:47.217910319,69.88,0.0,0.0,0.0337805480120601,0.013512219204824,low_risk,[],0
txn_000788,user_0000,2024-01-11 04:30:43.064037715,45.09,0.0,0.0,0.007917117241771,0.0031668468967084,low_risk,[],0
txn_000815,user_0000,2024-01-11 12:39:56.286265991,5647.38,0.7,0.8,0.9999467184017954,0.8449786873607181,high_risk,"['jump_from_previous', 'high_vs_average', 'high_share_of_total']",1
txn_000880,user_0000,2024-01-12 12:21:59.300755066,46.98,0.0,0.0,4.987704447546021e-05,1.995081779018409e-05,low_risk,[],0
txn_000892,user_0000,2024-01-12 17:04:01.786579911,82.16,0.0,0.0,0.0011069674716453,0.0004427869886581,low_risk,[],0
txn_001190,user_0000,2024-01-16 21:11:05.507851681,72.48,0.0,0.0,0.0001751704380946,7.006817523787223e-05,low_risk,[],0
txn_001212,user_0000,2024-01-17 02:02:33.183389736,75.38,0.0,0.0,0.00042203465895,0.00016881386358,low_risk,[],0
txn_001337,user_0000,2024-01-18 18:40:17.284270866,65.89,0.0,0.0,0.0001751704380946,7.006817523787223e-05,low_risk,[],0
txn_001412,user_0000,2024-01-19 20:39:39.734593426,80.94,0.0,0.0,0.0001751704380946,7.006817523787223e-05,low_risk,[],0
txn_001588,user_0000,2024-01-21 16:16:58.355676226,61.12,0.0,0.0,0.0001751704380946,7.006817523787223e-05,low_risk,[],0
txn_001820,user_0000,2024-01-25 02:23:33.910704607,65.12,0.0,0.0,0.0001751704380946,7.006817523787223e-05,low_risk,[],0
txn_001829,user_0000,2024-01-25 04:08:47.890503551,72.94,0.1,0.0,0.00042203465895,0.03516881386358,low_risk,['increasing_sequence'],0
txn_002541,user_0000,2024-02-03 10:04:57.237273438,70.96,0.0,0.0,0.0001751704380946,7.006817523787223e-05,low_risk,[],0
txn_002761,user_0000,2024-02-06 09:04:16.080231038,52.45,0.0,0.0,0.0001751704380946,7.006817523787223e-05,low_risk,[],0
txn_003091,user_0000,2024-02-10 15:54:01.457331970,85.5,0.0,0.0,0.0004653056645367,0.0001861222658147,low_risk,[],0
txn_003100,user_0000,2024-02-10 21:06:51.986423359,63.15,0.0,0.0,4.987704447546021e-05,1.995081779018409e-05,low_risk,[],0
txn_003673,user_0000,2024-02-18 17:15:46.836630665,70.35,0.0,0.0,0.0001751704380946,7.006817523787223e-05,low_risk,[],0
txn_003683,user_0000,2024-02-18 20:50:32.573344361,62.14,0.0,0.0,0.00042203465895,0.00016881386358,low_risk,[],0
txn_003760,user_0000,2024-02-20 01:08:02.704138929,66.98,0.0,0.0,0.0001751704380946,7.006817523787223e-05,low_risk,[],0
txn_003838,user_0000,2024-02-20 20:53:06.319687425,57.97,0.0,0.0,0.00042203465895,0.00016881386358,low_risk,[],0
txn_003948,user_0000,2024-02-22 08:59:35.892950645,42.39,0.0,0.0,0.0001751704380946,7.006817523787223e-05,low_risk,[],0
txn_004040,user_0000,2024-02-23 09:27:16.452662964,56.81,0.0,0.0,0.0006693652505612,0.0002677461002245,low_risk,[],0
txn_004129,user_0000,2024-02-24 19:07:50.392311042,78.38,0.1,0.0,9.745218207163337e-05,0.0350389808728286,low_risk,['increasing_sequence'],0
